id,user,message,createdAt,logType,component,level,metadata
374,system,[INFO] Starting build configuration parsing,2025-09-05 08:03:23.879 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
375,system,[INFO] Build configuration parsed successfully,2025-09-05 08:03:23.890 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
376,system,[INFO] Starting build safety validation,2025-09-05 08:03:23.897 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
377,system,[INFO] Production build safety validation passed,2025-09-05 08:03:23.901 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
378,system,[INFO] Starting build environment validation,2025-09-05 08:03:23.906 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""platform"":""win32""}"
379,system,[INFO] Build environment validation completed,2025-09-05 08:03:28.540 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""majorVersion"":20}"
380,system,[INFO] Starting database cleanup,2025-09-05 08:03:28.545 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
381,system,[ERROR] Build preparation failed,2025-09-05 08:03:31.061 +00:00,error,build-prep,error,"{""operation"":""main"",""error"":""EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'"",""stack"":""Error: EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'\n    at Object.unlinkSync (node:fs:1877:11)\n    at D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:578:14\n    at async executeWithRetry (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:46:14)\n    at async cleanDatabase (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:574:7)\n    at async main (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:151:5)"",""duration"":""7231ms"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
382,system,[INFO] Build preparation started,2025-09-05 08:04:21.200 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T08:04:21.198Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
383,system,[INFO] Starting build configuration parsing,2025-09-05 08:04:21.247 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
